SKU,EAN,UPC,TYPE,NAME,SHORTCODE,VARIANT GROUP ID,STATUS,PRICE,SALE PRICE,AVAILABLE,COMMITTED,BACKORDERED,ON HAND,TRACKING,BACKORDER LIMIT,DESCRIPTION,WEIGHT,UNIT OF WEIGHT,GTIN CODE,PRODUCT ID,OPTION 1 NAME,OPTION 1 VALUE,OPTION 2 NAME,OPTION 2 VALUE
,,,PHYSICAL,Restoring Warriors T - Large Logo Front,RESTO,,ACTIVE,,,,,,,,,"Big and Bold, Restoring Warriors Large Logo T-shirt.
Features

  6.1 oz., 100% ring spun USA cotton
  Preshrunk, soft-washed, garment-dyed fabric
  Made with sustainably and fairly grown USA cotton and sewn with USA cotton thread
  Twill taped shoulder-to-shoulder
  Set-in sleeves
  Double-needle stitched sleeves and bottom hem
  1"" ribbed collar with double-needle topstitched neckline",,,,restoring-warriors-t-large-logo-front,,,,
RSTRNG-WRRRS-T---LRG-LG-FRNT-SMLL-BLCK,,,,Restoring Warriors T - Large Logo Front Small / Black,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-small-black,Size,Small,Color,Black
RSTRNG-WRRRS-T---LRG-LG-FRNT-SMLL-WHT,,,,Restoring Warriors T - Large Logo Front Small / White,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-small-white,Size,Small,Color,White
RSTRNG-WRRRS-T---LRG-LG-FRNT-SMLL-RD,,,,Restoring Warriors T - Large Logo Front Small / Red,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-small-red,Size,Small,Color,Red
RSTRNG-WRRRS-T---LRG-LG-FRNT-SMLL-BL,,,,Restoring Warriors T - Large Logo Front Small / Blue,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-small-blue,Size,Small,Color,Blue
RSTRNG-WRRRS-T---LRG-LG-FRNT-MDM-BLCK,,,,Restoring Warriors T - Large Logo Front Medium / Black,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-medium-black,Size,Medium,Color,Black
RSTRNG-WRRRS-T---LRG-LG-FRNT-MDM-WHT,,,,Restoring Warriors T - Large Logo Front Medium / White,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-medium-white,Size,Medium,Color,White
RSTRNG-WRRRS-T---LRG-LG-FRNT-MDM-RD,,,,Restoring Warriors T - Large Logo Front Medium / Red,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-medium-red,Size,Medium,Color,Red
RSTRNG-WRRRS-T---LRG-LG-FRNT-MDM-BL,,,,Restoring Warriors T - Large Logo Front Medium / Blue,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-medium-blue,Size,Medium,Color,Blue
RSTRNG-WRRRS-T---LRG-LG-FRNT-LRG-BLCK,,,,Restoring Warriors T - Large Logo Front Large / Black,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-large-black,Size,Large,Color,Black
RSTRNG-WRRRS-T---LRG-LG-FRNT-LRG-WHT,,,,Restoring Warriors T - Large Logo Front Large / White,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-large-white,Size,Large,Color,White
RSTRNG-WRRRS-T---LRG-LG-FRNT-LRG-RD,,,,Restoring Warriors T - Large Logo Front Large / Red,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-large-red,Size,Large,Color,Red
RSTRNG-WRRRS-T---LRG-LG-FRNT-LRG-BL,,,,Restoring Warriors T - Large Logo Front Large / Blue,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-large-blue,Size,Large,Color,Blue
RSTRNG-WRRRS-T---LRG-LG-FRNT-XL-BLCK,,,,Restoring Warriors T - Large Logo Front XL / Black,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-xl-black,Size,XL,Color,Black
RSTRNG-WRRRS-T---LRG-LG-FRNT-XL-WHT,,,,Restoring Warriors T - Large Logo Front XL / White,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-xl-white,Size,XL,Color,White
RSTRNG-WRRRS-T---LRG-LG-FRNT-XL-RD,,,,Restoring Warriors T - Large Logo Front XL / Red,RESTO,restoring-warriors-t-large-logo-front,ACTIVE,25,,,,,,false,0,,0,lbs,,restoring-warriors-t-large-logo-front-xl-red,Size,XL,Color,Red
,,,PHYSICAL,In Jesus Name Hoodie - Big Logo -,INJES,,ACTIVE,,,,,,,,,"Features

  7.4 oz.,80% cotton/20% polyester fleece
  100% cotton face
  Front pocket
  Sueded jersey lined hood with drawcord
  1x1 ribbed cuffs and waistband
  Tear-away label
  Inside neck patch for printable label
  Sideseamed",,,,in-jesus-name-hoodie-big-logo-,,,,
N-JSS-NM-HD---BG-LG---SMLL-BLCK,,,,In Jesus Name Hoodie - Big Logo - Small / Black,INJES,in-jesus-name-hoodie-big-logo-,ACTIVE,42,,,,,,false,0,,0,lbs,,in-jesus-name-hoodie-big-logo-small-black,Size,Small,Color,Black
